id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
16295,生雞,稱謂,saang gai,生1 雞1,公雞,(喻)色鬼,沒閹過的公雞
16296,騸雞,動物,sin gai,騸3 雞1,閹雞,,"「騸雞」亦作""""鏾雞"""""
16297,雞,動物,gai naa,雞1 2,母雞,,
16298,雞仔,動物,gai zai,雞1 仔2,小雞,小雞兒,
16299,豬公,動物,zyu gung,豬1 公1,公豬,,
16300,豬仔,動物,zyu zai,豬1 仔2,小豬,,
16301,貓,動物,maau naa,貓1 2,母貓,雌貓,
16302,貓仔,動物,maau zai,貓1 仔2,小貓,小雄貓,
16303,貓女,動物,maau neoi,貓1 女5*2,小雌貓,,
16304,羊咩,動物,joeng me,羊4 咩1,羊,,1.羊(兒語)。2.羊(幼兒語)
16305,頭牲,動物,tau sang,頭4 牲1,牲口,,牲口(集合名詞)
16306,山豬,動物,saan zyu,山1 豬1,野豬,,
16307,箭豬,動物,zin zyu,箭3 豬1,豪豬,,
16308,潺,礦物、自然物,saan,潺4,黏液,涎,1.魚、 蛇等動物身上的黏液。2.(鱔魚等身上的)黏液
16309,頭殼,人體,tau hok,頭4 殼8,頭,頭骨,
16310,魂精,人體,wan zeng,魂4 精1,太陽穴,,
16311,面珠,人體,min zyu,面6 珠1,臉蛋,,
16312,眼核,人體,ngaan wai,眼5 核9,眼珠,眼珠兒,
16313,眼尾,人體,ngaan mei,眼5 尾5,眼角,,
16314,眼肚,人體,ngan tou,眼5 肚5,下眼皮,,
16315,耳仔,人體,ji zai,耳5 仔2,耳朵,,
16316,耳窿,人體,ji lung,耳5 窿2,耳孔,,
16317,鼻哥,人體,bei go,鼻6 哥1,鼻子,,
16318,鼻哥窿,人體,bei go lung,鼻6 哥1 窿1,鼻孔,鼻眼兒,
16319,牙骹,人體,ngaa gaau,牙4 骹3,下頷骨關節,,
16320,口唇,人體,hau seon,口2 唇4,嘴唇,嘴唇兒,
16321,口丫角,人體,hau aa gok,口2 丫1 角3,嘴角,,
16322,牙肉,人體,ngaa juk,牙4 肉9*2,齒齦,牙床,
16323,喉嚨椗,人體,hau lung ding,喉4 嚨4 椗3,小舌,,喉嚨椗--咽喉部位
16324,吊鐘,人體,diu zung,吊3 鐘1,小舌,小舌兒,
16325,喉核,人體,hau wat,喉4 核6,喉結,,
16326,喉欖,人體,hau laam,喉4 欖2,喉結,,
16327,,人體,nin,1,乳房,奶汁,
16328,膊頭,人體,bok tau,膊8 頭4,肩膀,肩膀兒,
16329,骨,人體,peng gwat,1骨7,盆骨,髖骨,
16330,小厴,人體,siu jim,小2 厴2,肋下,,"1.腹部的兩側,亦稱""""腍厴""""。2.「小厴」也作""""小腌"""""
16331,胳肋底,人體,gaak laak dai,胳3 肋9*7 底2,胳肢窩,腋下,
16332,手瓜,人體,sau gwaa,手2 瓜1,上臂,,上臂前部的肌肉
16333,手指公,人體,sau zi gung,手2 指2 公1,大拇指,大拇哥,
16334,手指尾,人體,sau zi mei,手2 指2 尾5*1,小拇指,小拇哥兒,
16335,手板心,人體,sau baan sam,手2 掌2 心1,手掌心,,
16336,手甲,人體,sau gaap,手2 甲8,指甲,手指甲,
16337,屎忽,人體,si fat,屎2 忽7,屁股,,"「屎忽」亦作""""屎"" / """"屎窟"""""
16338,屎忽窿,人體,si fat lung,屎2 忽7 窿1,肛門,,
16339,尾龍骨,人體,mei lung gwat,尾5 龍4 骨7,尾椎骨,尾骨,尾骨(脊椎骨的末端)
16340,髀罅,人體,bei laa,髀2 罅3,腹股溝,,
16341,菠蘿蓋,人體,bo lo goi,菠1 蘿4 蓋3,膝蓋骨,髕骨,
16342,腳坳,人體,goek aau,腳8 坳3,膕窩,,腳坳(膝蓋後面)
16343,腳瓜,人體,goek gwaa,腳8 瓜1,小腿,腿肚子,
16344,腳瓜瓤,人體,goek gwaa nong,腳8 瓜1 瓤4*1,腿肚子,,
16345,腳骨,人體,goek gwat,腳8 骨7,小腿骨,腿腳,
16346,腳眼,人體,goek ngaan,腳8 眼5,腳踝,踝子骨,
16347,腳,人體,goek zaang,腳8 1,腳後跟,,
16348,腳趾公,人體,goek zi gung,腳8 趾2 公1,大拇趾,腳拇趾,
16349,腳趾尾,人體,goek zi mei,腳8 趾2 尾5*1,小拇趾,腳小趾,
16350,腳板底,人體,goek baan dai,腳8 板2 底2,腳板,腳掌,
16351,骹,人體,gaau,骹3,骨節關,鐵合頁,"也作""""鉸"""""
16352,,人體,mak,9*2,痣,,"1.痣(一般指深色, 不凸起的)。2.(較大的)痣"
16353,鼻水,人體,bei seoi,鼻6 水2,清鼻涕,鼻挺,
16354,鼻屎,人體,bei si,鼻6 屎2,鼻涕凝結物,,
16355,眼淚水,人體,ngaan leoi seoi,眼5 淚6 水2,淚水,,
16356,老泥,人體,lou nai,老5 泥4,汗垢,,
16357,,人體,naan,3,疹子,,
16358,雞皮,人體,gai pei,雞1 皮4,雞皮疙瘩,,
16359,騎樓底,房屋,ke lau dai,騎4 樓2 底2,陽台下面,,有建築物橫跨的行人道
16360,沖涼房,房屋,cung loeng foeng,沖1 涼4 房2,洗澡間,浴室,
16361,窗門,房屋,coeng mun,窗1 門4*2,窗戶,窗扇,
16362,窗枝,房屋,coeng zi,窗1 枝1,窗柵欄,,
16363,鐵閘,房屋,tit zaap,鐵8 閘9,鐵柵欄門,活動金屬門,
16364,步級,房屋,bou kap,步6 級7,台階,台階兒,
16365,瓦面,房屋,ngaa min,瓦5 面2,房頂,,指鋪瓦片的房頂
16366,瓦背,房屋,ngaa bui,瓦5 背2,房頂,房頂兒,"指鋪瓦片的房頂,同""""瓦背頂"""""
16367,閣仔,房屋,gok zai,閣8 仔2,小閣樓,閣樓,
16368,掘頭巷,天象、地理,gwat tau hong,掘9 頭4 巷2,死胡同,,
16369,橫街窄巷,房屋,waang gaai zaak hong,橫4 街1 窄8 巷6(2*6),大街小巷,狹窄的巷子,狹窄的巷子
16370,冷巷,房屋,laang hong,冷5 巷2,窄巷,走廊,
16371,石屎樓,房屋,sek si lau,石6 屎2 樓2,混凝土樓房,,
16372,基圍,天象、地理,gei wai,基1 圍4,堤堰,防潮堤,
16373,山墳,天象、地理,saan faan,山1 墳4,墳墓,墳,
16374,家山,天象、地理,gaa saan,家1 山1,祖墳,,
16375,稽錢,其他,kai cin,稽1 錢4,紙錢,,
16376,階磚,工具、材料,gaai zyun,階1 磚1,地板磚,方磚,
16377,光瓦,工具、材料,gwong ngaa,光1 瓦5,透明瓦,,
16378,鐵線,工具、材料,tit sin,鐵8 線2,鐵絲,,
16379,魚絲,工具、材料,jyu si,魚4 絲1,尼龍絲,,
16380,叻,工具、材料,lik gaa,叻7 2,清漆,清漆,"1.叻(譯自英語lacquer)。亦作""""力架""""。2.也作""""叻架"""""
16381,士叻,工具、材料,si lik,士6 叻7,蟲膠漆,,"士叻(譯自英語shellac)。也作""""士力"""""
16382,油,工具、材料,jau,油4*2,油漆,漆,油[陰上聲](名詞)
16383,田基,天象、地理,tin gei,田4 基1,田梗,,
16384,火水,工具、材料,fo seoi,火2 水2,煤油,,
16385,蠟青,工具、材料,laap ceng,蠟9 掃5,瀝青,,
16386,架撐,工具、材料,gaa caang,架3 撐1,幹活的工具,,
16387,鐵筆,工具、材料,tit bat,鐵8 筆7,鐵撬杠,鋼,
16388,竹升,工具、材料,zuk sing,竹7 升1,粗竹杠,竹槓,
16389,士巴拿,工具、材料,si baa naa,士6 巴1 拿4*2,扳手,扳子,1.士巴拿(譯自英語spanner)。2.這是spanner的音譯。
16390,螺絲批,工具、材料,l osi pai,螺4 絲1 批1,螺絲刀,起子,
16391,雞,工具、材料,naat gai,8 雞1,烙鐵,,
16392,窩釘,工具、材料,wo deng,窩1 釘1,鉚釘,,
16393,絲帽,工具、材料,si mou,絲1 帽2,螺絲帽,,"「絲帽」亦作""""絲母"""""
16394,灰匙,工具、材料,fui ci,灰1 匙2,抹泥刀,,
16395,橡筋,工具、材料,zoeng gan,橡6 筋1,橡皮筋兒,(猴)皮筋兒,
16396,狗髀架,工具、材料,gau bei gaa,狗2 髀2 架2,三角架,,
16397,電單車,商業、交通,din daan ce,電6 單1 車1,摩托車,,
16398,火燭車,商業、交通,fo zuk ce,火2 燭7 車1,消防車,,
16399,拖卡,商業、交通,to kaa,拖1 卡1,後掛車廂,拖掛車,(汽車後掛的)拖掛車
16400,轆,商業、交通,luk,轆7,車輪,轆,像輪子的東西。
16401,沙,工具、材料,saa kam,沙1 2,擋泥板,防塵罩,自行車輪子上的防塵罩
16402,火嘴,工具、材料,fo zeoi,火2 嘴2,內燃機火花塞,火花塞,
16403,龍船,文化、娛樂,lung syun,龍4 船4,龍舟,,
16404,沙煲,家具、日常用品,saa bou,沙1 煲1,沙鍋,,
16405,銻煲,家具、日常用品,tai bou,銻1 煲1,鋼精鍋,銻鍋,
16406,企身煲,工具、材料,kei san bou,企5 身1 煲1,高的瓦鍋,,"企身煲--高的瓦鍋, 一般用來煮湯或煮粥"
16407,鑊鏟,家具、日常用品,wok caan,鑊9 鏟2,鏟子,鍋鏟,
16408,水煲,家具、日常用品,seoi bou,水2 煲1,煮水壺,熱水壺,
16409,,家具、日常用品,caang,1,平底鍋,鍋,"「」亦作""""鐺"""""
16410,口盅,家具、日常用品,long hau zung,2 口2 盅1,口盅,漱口杯,
16411,屎,家具、日常用品,si taap,屎23,馬桶,痰盂,
16412,尿壺,家具、日常用品,niu wu,尿6 壺2,夜壺,,
16413,手抽,家具、日常用品,sau cau,手2 抽1,手提袋,手提籃,"塑料製的或以藤,草編成的。"
16414,挽手,工具、材料,waan sau,挽2 手2,(器皿等的)提手,,
16415,煙仔,商業、交通,jin zai,煙1 仔2,香煙,煙(卷兒),
16416,風爐,家具、日常用品,fung lou,風1 爐4*2,燒柴的爐子,爐子,
16417,焗爐,家具、日常用品,guk lou,焗6 爐4,烤箱,烤爐,
16418,煤氣罐,家具、日常用品,mui hei gun,煤4 氣3 罐3,石油氣鋼瓶,,
16419,糕盤,家具、日常用品,gou pun,糕1 盤2,(沒有對應詞彙),,蒸糕用的盤子
16420,水壺,家具、日常用品,seoi wu,水2 壺2,暖水瓶,,
16421,茶杯碟,家具、日常用品,caa bui dip,茶4 杯1 碟2,茶具,,茶具(的總稱)
16422,焗盅,家具、日常用品,guk zung,焗9 盅1,蓋碗,,沏茶的碗、帶蓋
16423,燉盅,家具、日常用品,dan zung,燉6 盅1,(沒有對應詞彙),,"隔水蒸東西用的陶瓷容器, 帶雙層蓋子"
16424,瓮缸,家具、日常用品,ung gong,瓮5 缸1,瓦缸子,缸,
16425,火牛,家具、日常用品,fo ngau,火2 牛4,變壓器,鎮流器,(日光燈的)鎮流器
16426,鴻運扇,家具、日常用品,hung wan sin,鴻4 運6 扇3,轉葉式送風電扇,,"注: """"鴻運""""是最早推出這種電扇時的商標"
16427,鮑魚掣,工具、材料,baau jyu zai,鮑1 魚4 掣3,電閘,,
16428,電燈杉,其他,din dang caam,電6 燈1 杉3,電線杆,電線桿,
16429,洋燭,工具、材料,joeng zuk,洋4 燭7,蠟燭,,
16430,雞毛掃,工具、材料,gai mou sou,雞1 毛4掃2,雞毛撢子,,
16431,地拖,工具、材料,dei to,地6 拖1,拖把,,
16432,膠喉,工具、材料,gaau hau,膠1 喉4,橡膠水管,塑膠水管,
16433,喉管,工具、材料,hau gun,喉4 管2,水管,,
16434,水喉通,工具、材料,seoi hau tung,水2 喉4 通1,鐵水管,,
16435,街喉,工具、材料,gaai hau,街1 喉4,街上的水管,,1.由街上通入住戶的水管。2.街上的公共水龍頭、水管。
16436,水喉水,飲食,seoi hau seoi,水2 喉4 水2,自來水,,
16437,水喉掣,工具、材料,seoi hau zai,水2 喉4 掣3,自來水開關,,水喉掣--包括水龍頭和水閘
16438,縮骨遮,家具、日常用品,suk gwat ze,縮7 骨7 遮1,折骨傘,摺疊傘,
16439,探熱針,家具、日常用品,taam jit zam,探3 熱9 針1,體溫計,,
16440,燙斗,家具、日常用品,tong dau,燙3 斗2,熨斗,,
16441,香,家具、日常用品,hoeng gaan,香12,香皂,,
16442,粉,家具、日常用品,gaan fan,2 粉2,洗衣粉,肥皂粉,
16443,火機,工具、材料,fo gei,火2 機1,打火機,,
16444,織針,工具、材料,zik zam,織7 針1,打毛衣的針,,
16445,膠擦,文化、娛樂,gaau caat,膠1 擦2,橡皮,橡皮擦,
16446,墨筆,文化、娛樂,mak bat,墨9 筆7,毛筆,,
16447,墨水筆,文化、娛樂,mak seoi bat,墨9 水2 筆7,鋼筆,,
16448,線轆,工具、材料,sin luk,線3 轆7,木紗團,線軸兒,(繞在線軸上的)線團。
16449,筆錔,工具、材料,bat taap,筆1 錔8,筆套,筆帽,
16450,萬字夾,文化、娛樂,maan zi gaap,萬6 字6 夾8*2,回形刀,,
16451,撳釘,工具、材料,gam deng,撳6 釘1,圖釘,摁釘,
16452,拍子簿,文化、娛樂,paak zi bou,拍3 子2 簿2,白紙本子,,"拍子簿(譯自英語pad),也作「拍紙簿」"
16453,咭紙,文化、娛樂,kaak zi,咭7 紙2,硬卡紙,,咭紙(譯自英語card)
16454,過底紙,文化、娛樂,gwo dai zi,過3 底2 紙2,複寫紙,印紙,
16455,字紙籮,家具、日常用品,zi zi lo,字6 紙2 簍1,廢紙簍,,
16456,公事包,服飾,gung si baau,公1 事6 包1,公文包,,
16457,咭片,商業、交通,kaak pin,咭7 片3*2,卡片,名片,咭片(譯自英語card)
16458,鐳射,文化、娛樂,leoi se,鐳4 射6,激光,,1.鐳射(譯自英語laser)。2.英語laser的音譯。
16459,鏡架,工具、材料,geng gaa,鏡3 架3*2,鏡框,,
16460,色士風,文化、娛樂,sik si fung,色7 時4*6 風1,薩克斯管,,"1.薩克斯管(一種銅管樂器。""""色時風""""音譯英語saxophone)。2.一種銅管樂器。英語saxophone的音譯。"
16461,打,工具、材料,di daa,1 打2,嗩吶,,
16462,,文化、娛樂,pe,1,撲克,,
16463,乒乓波,文化、娛樂,bing bam bo,乒1 乓1 波1,乒乓球,,
16464,波板,工具、材料,bo baan,波1 板2,乒乓板,乒乓球拍,
16465,水泡,工具、材料,seoi pou,水2 抱5,球生圈,水泡兒,"同""""水抱"""""
16466,板,文化、娛樂,ngat ngat baan, 3 3 板2,蹺蹺板,,
16467,錢罌,工具、材料,cin aang,錢4 罌1,儲錢罐,撲滿,供兒童把零錢儲起來的容器。
16468,招紙,文化、娛樂,ziu zi,招1 紙2,海報,張貼的廣告,
16469,公仔書,文化、娛樂,gung zai syu,公1 仔2 書1,小人書,連環畫,
16470,雞,工具、材料,gai,雞1,哨子,哨兒,
16471,手,服飾,sau aak,手2 2,手鐲,,
16472,頸鏈,服飾,geng lin,頸2 鏈2,項鏈,,
16473,口唇膏,服飾,hau seon gou,口2 唇4 膏1,唇膏,,
16474,頂夾,服飾,deng gip,頂2 夾9*2,髮夾子,,
16475,鬚刨,家具、日常用品,sou paau,風1 槍1,保險刀,刮臉刀,
16476,,家具、日常用品,gip,7,皮箱子,藤箱子,"也作""""篋"""""
16477,柜筒,家具、日常用品,gwai tung,柜6 筒2,抽屜,,
16478,高柜,家具、日常用品,gou gwai,高1 柜6,大衣櫥,立柜,
16479,企身柜,家具、日常用品,kei san gwai,企5 身1 柜6,大衣櫥,立柜,
16480,雪柜,家具、日常用品,syut gwai,雪8 柜6,冰箱,,"也作""""雪櫃"""""
16481,夾萬,家具、日常用品,gaap maan,夾8 萬6,保險箱,保險櫃,
16482,挨屏,家具、日常用品,aai peng,挨1 屏1,靠背,,"1.(椅, 床的)靠背。2.(椅子)靠背,也作""""挨拼"""""
16483,杠床,家具、日常用品,gong cong,杠3 床2,一種長椅,,
16484,轆架床,家具、日常用品,luk gaa cong,轆7 架2 床4,雙層床,,
16485,被鋪,家具、日常用品,pei pou,被5 鋪1,鋪蓋,,
16486,墊褥,家具、日常用品,zin juk,墊 3 褥9*2,褥子,,
16487,床薦,家具、日常用品,cong zin,床4 薦3,褥子,,
16488,毛巾,家具、日常用品,mou gan zin,毛4 巾1 1,毛巾被,,
16489,珠被,家具、日常用品,zyu pei,珠1 被5,毛巾被,,
16490,枕頭袋,家具、日常用品,zam tau doi,枕2  頭4 袋2,枕頭袋子,,
16491,枕頭肉,家具、日常用品,zam tau juk,枕2 頭4 肉8*2,枕頭芯子,,
16492,雨褸,服飾,jyu lau,雨5 褸1,雨衣,,
16493,面衫,服飾,min saam,面2 衫1,外衣,,
16494,飛機恤,服飾,fei gei seot,飛1 機1 7,夾克,,
16495,過頭笠,服飾,gwo tau lap,過3 頭4 笠7,套頭的上衣,套頭,泛指從頭上套下來的衣服
16496,笠衫,服飾,lap saam,笠7 衫1,套頭上衣,汗衫兒,泛指從頭上套下來的衣服
16497,龜背,服飾,gwai bui,龜1 背3,厚背心,,
16498,牛頭褲,服飾,ngau tau fu,牛4 頭4 褲3,短褲,,可當外褲穿的一種短褲。
16499,衫尾,服飾,saam mei,衫1 尾5,衣服下擺,,
16500,手袖,服飾,sau zau,手2 袖6,衣袖,袖套,
16501,唐裝衫,服飾,tong zong saam,唐4 裝1 衫1,中式衣服,,
16502,手巾仔,服飾,sau gan zai,手2 巾1 仔2,手帕,手絹兒,
16503,領呔,服飾,leng taai,領5 呔1,領帶,,英：tie
16504,手襪,服飾,sau mat,手2襪9,手套,手套兒,
16505,褡膊,服飾,daap bok,褡8 膊8,(沒有對應詞彙),,扛東西時墊肩用的正方形布
16506,屎片,家具、日常用品,si pin,屎2 片2,尿布,尿片,
16507,帶,服飾,me daai,1 帶2,背帶,揹帶,背小孩的背帶
16508,□紐,服飾,baak nau,□ 1 紐2,摁紐兒,,
16509,紐門,服飾,nau mun,紐2 門4,扣眼兒,,
16510,帽,服飾,gek mou,7 帽2,鴨舌兒,,英：cap
16511,高鞋,服飾,gou zaang haai,高1 1 鞋4,高跟鞋,,
16512,水鞋,服飾,seoi haai,水2 鞋4,雨鞋,雨靴,
16513,懶佬鞋,服飾,laan lou haai,懶5 佬2 鞋4,懶漢鞋,無繫帶的鞋,"1.懶漢鞋(專指不用結鞋帶的男裝鞋)。2.一種不必綁帶, 很容易穿、容易穿脫的布鞋"
16514,鞋抽,工具、材料,haai cau,鞋4 抽1,鞋拔子,,
16515,鞋嘴,服飾,haai zeoi,鞋4 嘴2,鞋尖,,
16516,銀紙,商業、交通,ngan zi,銀4 紙2,鈔票,紙幣,(特指)紙幣
16517,碎紙,商業、交通,seoi zi,碎3 紙2,零票子,零鈔,
16518,散紙,商業、交通,saan zi,散2 紙2,零票子,零錢,
16519,濕柴,商業、交通,sap caai,濕7 柴4,很零碎的票子,,"1.濕柴(俗稱)。2.燒不著的、用處不大的濕的木柴,喻指面額不大的鈔票"
16520,銀仔,商業、交通,ngan zai,銀4*2 仔2,硬幣,,
16521,港紙,商業、交通,gong zi,港2 紙2,港幣,,
16522,,飲食,sung,3,菜餚,菜,
16523,豬手,飲食,zyu sau,豬1 手2,豬前腿,豬的前蹄,
16524,豬,飲食,zyu zaang,豬1 1,豬肘子,,
16525,豬腳,飲食,zyu goek,豬1 腳8,豬蹄子,豬蹄,
16526,豬雜,飲食,zyu zaap,豬1 雜9,豬雜碎,豬下水,
16527,豬橫,飲食,zyu waang lei,豬1 橫4 6,豬胰子,,豬的胰臟
16528,豬膏,飲食,zyu gou,豬1 膏1,豬皮油,凝結的豬油,
16529,脢肉,飲食,mui juk,脢4 肉9,精肉,里脊肉,"豬,牛脊背上的瘦肉,尤指裏脊。"
16530,粉腸,飲食,fan coeng,粉2 腸4*2,動物的小腸,,
16531,牛百葉,飲食,ngaau baak jip,牛4 百8 葉9,牛的蜂巢胃,牛的蜂巢胃(網胃),
16532,香肉,飲食,hoeng juk,香1 肉9,狗肉,,
16533,鴨撲,飲食,aap pok,鴨3 撲8,(沒有對應詞彙),,鴨的軀幹部分去肉和內臟後帶少許肉的骨架
16534,雞殼,飲食,gai hok,雞1 殼8,(沒有對應詞彙),,雞的軀幹部分去肉和內臟後帶少許肉的骨架
16535,燒鴨,飲食,siu aap,燒1 鴨8,烤鴨,,
16536,燒鵝,飲食,siu ng`o,燒1 鵝4*2,烤鵝,,
16537,魚滑,飲食,jyu waat,魚4 滑2,魚肉泥,,
16538,魚蛋,飲食,jyu daan,魚4 蛋2,魚肉丸子,魚丸,
16539,豆,飲食,dau jeon,豆6 2,豆腐乾,,
16540,豆泡,飲食,dau pok,豆6 泡1,炸豆腐乾,,
16541,菜,植物、糧菜、果品,coi daam,菜32,菜心,,
16542,油器,飲食,jau hei,油4 器3,(沒有對應詞彙),,1.油炸食物。2.油炸食物的總稱
16543,油角,飲食,jau gok,油4 角8*2,(沒有對應詞彙),,"1.一種包的油炸食品, 在過春節時食用及送禮。2.廣東小吃"
16544,角仔,飲食,gok zai,角8 仔2,(沒有對應詞彙),,"一種包的油炸食品, 在過春節時食用及送禮"
16545,煎堆,飲食,zin deoi,煎1 堆1,(沒有對應詞彙),,"1.一種圓球形油炸食品, 外層為糯米粉, 有。2.一種油炸食品"
16546,咸煎餅,飲食,haam zin beng,咸4 煎1 餅2,油餅,,
16547,油炸鬼,飲食,jau zaa gwai,油4 炸3 鬼2,油條,,
16548,炸麵,飲食,zaa min,炸3 面6,油條,,
16549,水蛋,飲食,seoi daan,水2 蛋2,蛋羹,雞蛋羹,
16550,沙河粉,飲食,saa ho fan,沙1 河4 粉2,寬粉條,熟米粉條,"以米粉水置於容器中蒸熟後切成寬1厘米左右的條狀即成。食用時可炒肉或做成湯粉。因其原產地為廣州沙河,故稱。在飲食等行當中,又簡稱為""""河粉ho2粉2""""或河ho2""""。"
16551,河粉,飲食,ho fan,河2 粉2,寬粉條,,
16552,腸粉,飲食,coeng fan,腸4*2 粉2,卷狀粉條,蒸米粉卷兒,這是廣東一帶常見的早餐食品。
16553,瀨粉,飲食,laai fan,瀨6 粉2,粗條狀粉條,,"一種較粗的米粉絲,類肉雲南的""""過橋米線"""",但顏色較透明。"
16554,麵餅,飲食,min beng,麵6 餅2,(沒有對應詞彙),,1.繞成餅狀的麵條乾製品。2.盤成餅狀的掛麵
16555,冷飯,飲食,laang faan,冷5 飯6,剩飯,,
16556,叉燒包,飲食,caa siu baau,叉1 燒1 包1,(沒有對應詞彙),,廣東點心一種。為紅燒肉的肉包
16557,麵豉,飲食,min si,麵6 豉2,豆瓣醬,,
16558,生粉,飲食,saang fan,生1 粉2,豆粉,芡粉,(打芡用的)豆粉
16559,生鹽,飲食,saang jim,生1 鹽4,粗鹽,,未經熬製的鹽
16560,古月粉,飲食,gu jyut fan,古2 月9 粉2,胡椒面兒,胡椒粉,
16561,薑醋,飲食,goeng cou,薑1 醋3,(沒有對應詞彙),,"1.醋煮薑, 雞蛋, 為婦女坐月子的食物。2.薑、醋煮成的食品，通常是煮給產婦吃的。"
16562,南乳肉,飲食,naam jyu juk,南4 乳5 肉9,五香花生仁,,"同""""南乳花生"""""
16563,送口果,飲食,sou hau gwo,送3 口2 果2,(沒有對應詞彙),,1.佐服中藥的果脯。2.服苦藥後用來除口中藥味的果脯。
16564,口立濕,飲食,hau lap sap,口2 立9 濕7,零食,,"同""""口垃濕"""""
16565,飯焦,飲食,faan ziu,飯6 焦1,鍋巴,,
16566,蛋撻,飲食,daan taat,蛋6 撻7,(沒有對應詞彙),,1.一種露甜點心。蛋撻(音譯英語tart)。2.一種西式點心
16567,咸酸,飲食,haam syun,咸4 酸1,醋腌瓜菜,,
16568,,飲食,mam mam,11,小孩的飯食,,(兒語)
16569,花旗參,植物、糧菜、果品,faa kei sam,花1 旗4 參1,西洋參,,
16570,涼茶,飲食,loeng caa,涼4 茶4,清涼茶,,1.袪暑降火的中藥飲料。2.清涼去火的藥劑
